KatID;OberKatID;Name
G;;Gemüse
GMi;G;Mittelzehrer
GMiAMARANTH ;GMi;Amaranth 
GMiBETE ;GMi;Bete 
GMiCHILI ;GMi;Chili 
GMiFENCHEL ;GMi;Fenchel 
GMiKOHLRABI ;GMi;Kohlrabi 
GMiLAUCHZWIEBEL ;GMi;Lauchzwiebel 
GMiMANGOLD ;GMi;Mangold 
GMiMÖHRE ;GMi;Möhre 
GMiPAPRIKA ;GMi;Paprika 
GMiPASTINAKE ;GMi;Pastinake 
GMiPFEFFERONI ;GMi;Pfefferoni 
GMiRETTICH ;GMi;Rettich 
GMiSALAT ;GMi;Salat 
GMiSCHWARZWURZEL ;GMi;Schwarzwurzel 
GMiSPINAT ;GMi;Spinat 
GSc;G;Schwachzehrer
GScBOHNE ;GSc;Bohne 
GScERBSE ;GSc;Erbse 
GScMAIRÜBE ;GSc;Mairübe 
GScRADIESCHEN ;GSc;Radieschen 
GScSALAT ;GSc;Salat 
GSt;G;Starkzehrer
GStANDENBEERE ;GSt;Andenbeere 
GStAUBERGINE ;GSt;Aubergine 
GStBLUMENKOHL ;GSt;Blumenkohl 
GStBROKKOLI ;GSt;Brokkoli 
GStCHINAKOHL ;GSt;Chinakohl 
GStGRÜNKOHL ;GSt;Grünkohl 
GStGURKE ;GSt;Gurke 
GStKÜRBIS ;GSt;Kürbis 
GStLAUCH ;GSt;Lauch 
GStMELONE ;GSt;Melone 
GStPALMKOHL ;GSt;Palmkohl 
GStROSENKOHL ;GSt;Rosenkohl 
GStROTKOHL ;GSt;Rotkohl 
GStSELLERIE ;GSt;Sellerie 
GStTOMATE ;GSt;Tomate 
GStWEIßKOHL ;GSt;Weißkohl 
GStWIRSING ;GSt;Wirsing 
GStZUCCHINI ;GSt;Zucchini 
GStZUCKERMAIS ;GSt;Zuckermais 
K;;Kräuter
KMi;K;Mittelzehrer
KMiPETERSILIE ;KMi;Petersilie 
KSc;K;Schwachzehrer
KScBASILIKUM ;KSc;Basilikum 
KScBRUNNENKRESSE;KSc;Brunnenkresse
KScDILL ;KSc;Dill 
KScKNOBLAUCHSRAUKE;KSc;Knoblauchsrauke
KScKORIANDER;KSc;Koriander
KScLAUCH-HELLERKRAUT;KSc;Lauch-Hellerkraut
P;;Pflanzgut
PMi;P;Mittelzehrer
PMiKNOBLAUCH ;PMi;Knoblauch 
PMiKNOLLIGER ;PMi;Knolliger 
PMiSCHALOTTE ;PMi;Schalotte 
PMiZWIEBEL ;PMi;Zwiebel 
PSc;P;Schwachzehrer
PScTOPINAMBUR ;PSc;Topinambur 
PSt;P;Starkzehrer
PStKARTOFFEL ;PSt;Kartoffel 
PStSÜßKARTOFFEL ;PSt;Süßkartoffel 
Mi;;Mittelzehrer
MiG;Mi;Gemüse
MiGAMARANTH ;MiG;Amaranth 
MiGBETE ;MiG;Bete 
MiGCHILI ;MiG;Chili 
MiGFENCHEL ;MiG;Fenchel 
MiGKOHLRABI ;MiG;Kohlrabi 
MiGLAUCHZWIEBEL ;MiG;Lauchzwiebel 
MiGMANGOLD ;MiG;Mangold 
MiGMÖHRE ;MiG;Möhre 
MiGPAPRIKA ;MiG;Paprika 
MiGPASTINAKE ;MiG;Pastinake 
MiGPFEFFERONI ;MiG;Pfefferoni 
MiGRETTICH ;MiG;Rettich 
MiGSALAT ;MiG;Salat 
MiGSCHWARZWURZEL ;MiG;Schwarzwurzel 
MiGSPINAT ;MiG;Spinat 
MiK;Mi;Kräuter
MiKPETERSILIE ;MiK;Petersilie 
MiP;Mi;Pflanzgut
MiPKNOBLAUCH ;MiP;Knoblauch 
MiPKNOLLIGER ;MiP;Knolliger 
MiPSCHALOTTE ;MiP;Schalotte 
MiPZWIEBEL ;MiP;Zwiebel 
Sc;;Schwachzehrer
ScG;Sc;Gemüse
ScGBOHNE ;ScG;Bohne 
ScGERBSE ;ScG;Erbse 
ScGMAIRÜBE ;ScG;Mairübe 
ScGRADIESCHEN ;ScG;Radieschen 
ScGSALAT ;ScG;Salat 
ScK;Sc;Kräuter
ScKBASILIKUM ;ScK;Basilikum 
ScKBRUNNENKRESSE;ScK;Brunnenkresse
ScKDILL ;ScK;Dill 
ScKKNOBLAUCHSRAUKE;ScK;Knoblauchsrauke
ScKKORIANDER;ScK;Koriander
ScKLAUCH-HELLERKRAUT;ScK;Lauch-Hellerkraut
ScP;Sc;Pflanzgut
ScPTOPINAMBUR ;ScP;Topinambur 
St;;Starkzehrer
StG;St;Gemüse
StGANDENBEERE ;StG;Andenbeere 
StGAUBERGINE ;StG;Aubergine 
StGBLUMENKOHL ;StG;Blumenkohl 
StGBROKKOLI ;StG;Brokkoli 
StGCHINAKOHL ;StG;Chinakohl 
StGGRÜNKOHL ;StG;Grünkohl 
StGGURKE ;StG;Gurke 
StGKÜRBIS ;StG;Kürbis 
StGLAUCH ;StG;Lauch 
StGMELONE ;StG;Melone 
StGPALMKOHL ;StG;Palmkohl 
StGROSENKOHL ;StG;Rosenkohl 
StGROTKOHL ;StG;Rotkohl 
StGSELLERIE ;StG;Sellerie 
StGTOMATE ;StG;Tomate 
StGWEIßKOHL ;StG;Weißkohl 
StGWIRSING ;StG;Wirsing 
StGZUCCHINI ;StG;Zucchini 
StGZUCKERMAIS ;StG;Zuckermais 
StP;St;Pflanzgut
StPKARTOFFEL ;StP;Kartoffel 
StPSÜßKARTOFFEL ;StP;Süßkartoffel 
